"SYMBOL","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","DATE"
"5PAISA",192.05,211.75,192.05,205.5,206,192.5,2020-01-01
"5PAISA",206.95,219.75,197,211.3,210,205.5,2020-01-02
"5PAISA",219.9,220.95,210.85,212.25,214,211.3,2020-01-03
"5PAISA",211.1,218.7,195.3,198.05,202.5,212.25,2020-01-06
"5PAISA",207,210.45,200.75,204.75,204,198.05,2020-01-07
"5PAISA",200,203,195,195.95,196.1,204.75,2020-01-08
"5PAISA",201.5,204.95,193.95,195.5,195.05,195.95,2020-01-09
"5PAISA",203.5,203.5,192.15,193.9,196,195.5,2020-01-10
"5PAISA",193.1,198,193,194.95,195.55,193.9,2020-01-13
"5PAISA",195.9,214.4,194.95,207.6,207,194.95,2020-01-14
"5PAISA",211,212,204.05,209.05,209.15,207.6,2020-01-15
"5PAISA",206,216,198,206.75,206.55,209.05,2020-01-16
"5PAISA",215,215,196.55,200.1,199.35,206.75,2020-01-17
"5PAISA",200,206.65,197.15,199.2,200,200.1,2020-01-20
"5PAISA",198,199,192.95,197.05,196.2,199.2,2020-01-21
"5PAISA",198,198,189,191.05,189,197.05,2020-01-22
"5PAISA",189,199.9,189,192.1,191.35,191.05,2020-01-23
"5PAISA",198.95,198.95,192.1,194.45,194.5,192.1,2020-01-24
"5PAISA",193.05,198,191.55,192.3,192,194.45,2020-01-27
"5PAISA",196.65,196.7,191,192.2,191,192.3,2020-01-28
"5PAISA",197,197,176,191.4,192.2,192.2,2020-01-29
"5PAISA",193.55,193.55,185.25,190.9,192.25,191.4,2020-01-30
"5PAISA",190.95,193.8,185.45,187.3,188.2,190.9,2020-01-31
"5PAISA",192.95,192.95,180,180.2,180.5,187.3,2020-02-01
"5PAISA",184.95,186,180.7,182.7,181.4,180.2,2020-02-03
"5PAISA",181.65,187.95,180,182.2,183.4,182.7,2020-02-04
"5PAISA",183.45,183.45,179.5,182.4,182.05,182.2,2020-02-05
"5PAISA",184.05,195,184,192.95,193.75,182.4,2020-02-06
"5PAISA",198,198,186.75,187.3,187.95,192.95,2020-02-07
"5PAISA",185,189.95,183.05,185.05,187.7,187.3,2020-02-10
"5PAISA",186.5,191.95,183,184.1,184.45,185.05,2020-02-11
"5PAISA",177,187.9,177,182.15,181,184.1,2020-02-12
"5PAISA",187.65,187.65,178.8,182.1,182.1,182.15,2020-02-13
"5PAISA",185.65,188,183,185.15,185,182.1,2020-02-14
"5PAISA",181.4,189,181.35,183.7,184.3,185.15,2020-02-17
"5PAISA",184,193.95,177.6,187.25,189.95,183.7,2020-02-18
"5PAISA",192.95,192.95,183.3,185.75,184.55,187.25,2020-02-19
"5PAISA",187.25,189.9,183.5,184.75,185,185.75,2020-02-20
"5PAISA",189.5,189.5,175,176.35,177,184.75,2020-02-24
"5PAISA",177.3,179,171.1,173.45,172.1,176.35,2020-02-25
"5PAISA",165.05,177.9,161,165.75,166.7,173.45,2020-02-26
"5PAISA",175.65,175.65,158.05,167.35,169.05,165.75,2020-02-27
"5PAISA",159.95,165,155,158.9,155,167.35,2020-02-28
"5PAISA",189.9,189.9,155.6,162.1,160.5,158.9,2020-03-02
"5PAISA",165,165,157.1,158.35,160,162.1,2020-03-03
"5PAISA",164.5,164.5,154.55,155,156,158.35,2020-03-04
"5PAISA",160,160,153,153.45,153,155,2020-03-05
"5PAISA",151,157.5,146.8,152.25,155.5,153.45,2020-03-06
"5PAISA",159.4,159.4,136.05,145.95,144,152.25,2020-03-09
"5PAISA",151.75,155,147,149.45,151,145.95,2020-03-11
"5PAISA",140.05,147,125,130.8,131.4,149.45,2020-03-12
"5PAISA",126,142.6,104.65,129.1,137.9,130.8,2020-03-13
"5PAISA",132.9,132.9,113.55,121.45,119.25,129.1,2020-03-16
"5PAISA",127,127,116.05,117.25,116.75,121.45,2020-03-17
"5PAISA",117.05,117.05,110,114.55,112,117.25,2020-03-18
"5PAISA",104,131.7,91.65,110,110,114.55,2020-03-19
"5PAISA",125,125,103.4,111.55,114.1,110,2020-03-20
"5PAISA",91.05,121,91.05,96.2,94,111.55,2020-03-23
"5PAISA",90,106,90,99.65,98,96.2,2020-03-24
"5PAISA",92.6,102.55,92.2,99.05,99.85,99.65,2020-03-25
"5PAISA",108.9,108.9,93.3,104.45,103.2,99.05,2020-03-26
"5PAISA",103.8,109.9,100.05,105,106.7,104.45,2020-03-27
"5PAISA",100.05,106.8,96,104.85,106,105,2020-03-30
"5PAISA",110.9,124.9,100.1,113.15,110,104.85,2020-03-31
"5PAISA",103.05,135,103,113.55,115,113.15,2020-04-01
"5PAISA",115,128,113.6,115.1,115,113.55,2020-04-03
"5PAISA",115,124.75,115,116.4,116,115.1,2020-04-07
"5PAISA",119.95,134,115,123.35,120.5,116.4,2020-04-08
"5PAISA",120.9,147.15,120.9,140.05,139,123.35,2020-04-09
"5PAISA",145,163,140.6,162.05,160,140.05,2020-04-13
"5PAISA",174.05,175,149,161.35,159,162.05,2020-04-15
"5PAISA",167,167,150.2,157.75,158,161.35,2020-04-16
"5PAISA",163.4,163.4,155,156.85,158,157.75,2020-04-17
"5PAISA",158.05,159.6,150.85,155.3,155,156.85,2020-04-20
"5PAISA",149,152.95,142.55,147.85,150.65,155.3,2020-04-21
"5PAISA",142.3,150.25,135.65,147.85,145.7,147.85,2020-04-22
"5PAISA",157,157,147,151.35,152.8,147.85,2020-04-23
"5PAISA",153.95,154,140,145.5,147.95,151.35,2020-04-24
"5PAISA",145.55,154,145.5,148.95,149,145.5,2020-04-27
"5PAISA",148.95,155,148.95,153.1,155,148.95,2020-04-28
"5PAISA",159,159.1,154.7,155.95,155.8,153.1,2020-04-29
"5PAISA",156,174.5,155.8,157.8,157.2,155.95,2020-04-30
"5PAISA",160,160,151.1,158.95,159,157.8,2020-05-04
"5PAISA",160,174,158.5,163.6,162,158.95,2020-05-05
"5PAISA",168,172.05,159,170.1,170.05,163.6,2020-05-06
"5PAISA",177,177,142.65,170.95,174.5,170.1,2020-05-07
"5PAISA",173,177,160,165.8,166,170.95,2020-05-08
"5PAISA",165.5,173,160,163.05,162.1,165.8,2020-05-11
"5PAISA",163,169.95,150,151.15,152.95,163.05,2020-05-12
"5PAISA",158,160,150.5,152,153,151.15,2020-05-13
"5PAISA",151.5,155,149,150.95,149.6,152,2020-05-14
"5PAISA",150.5,154.95,149.2,152.4,153,150.95,2020-05-15
"5PAISA",154.95,154.95,141,144.85,145.95,152.4,2020-05-18
"5PAISA",144.85,151.9,141.75,146.95,146.65,144.85,2020-05-19
"5PAISA",146.8,149.9,141.05,143.25,145,146.95,2020-05-20
"5PAISA",143.3,145.75,141.1,144.95,145,143.25,2020-05-21
"5PAISA",145,145,131.95,141.9,142.45,144.95,2020-05-22
"5PAISA",141.9,150,141.9,147.9,148,141.9,2020-05-26
"5PAISA",149.95,156,149.95,154.35,152,147.9,2020-05-27
"5PAISA",156.45,157,150.7,154.85,154.6,154.35,2020-05-28
"5PAISA",149.5,158,149.5,156.7,158,154.85,2020-05-29
"5PAISA",159,167.7,158.05,164.8,166,156.7,2020-06-01
"5PAISA",168,172,160.85,163.75,162.5,164.8,2020-06-02
"5PAISA",162,167.65,162,163.25,163,163.75,2020-06-03
"5PAISA",163.25,166.75,163,166.1,166,163.25,2020-06-04
"5PAISA",165,170,163,168.35,168,166.1,2020-06-05
"5PAISA",173.4,173.4,165,166.65,166,168.35,2020-06-08
"5PAISA",166.65,179.8,166,173.65,171.05,166.65,2020-06-09
"5PAISA",178,178,165,167.1,167.2,173.65,2020-06-10
"5PAISA",169,169,165.1,166.8,166,167.1,2020-06-11
