"SYMBOL","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","DATE"
"ADANIENT",209,210.45,206.65,207.85,207.55,208.35,2020-01-01
"ADANIENT",208,213.2,207.5,211.2,210.9,207.85,2020-01-02
"ADANIENT",210.25,212.35,205.8,208.3,208.35,211.2,2020-01-03
"ADANIENT",207.75,207.75,197.75,199.55,199.35,208.3,2020-01-06
"ADANIENT",200.55,205.7,200.55,204.05,202.95,199.55,2020-01-07
"ADANIENT",201,203.55,194.55,201.5,200.5,204.05,2020-01-08
"ADANIENT",201.9,208.9,201.9,208,208,201.5,2020-01-09
"ADANIENT",208,213,205.9,209.1,210.5,208,2020-01-10
"ADANIENT",210.65,216.25,209.6,213.6,212.6,209.1,2020-01-13
"ADANIENT",213.45,215.5,211.85,214.35,213.05,213.6,2020-01-14
"ADANIENT",214.5,218,212.5,216.6,218,214.35,2020-01-15
"ADANIENT",217.7,222.5,217,220,219.5,216.6,2020-01-16
"ADANIENT",216,229.25,213.7,228.4,227.75,220,2020-01-17
"ADANIENT",229.55,232.25,224.15,226.55,225.95,228.4,2020-01-20
"ADANIENT",224.35,227,220.5,224.25,223.65,226.55,2020-01-21
"ADANIENT",224.8,228,221.15,225.9,225.4,224.25,2020-01-22
"ADANIENT",226,231.2,225.75,229.6,228.7,225.9,2020-01-23
"ADANIENT",225.5,232.4,219,229.75,229,229.6,2020-01-24
"ADANIENT",229.5,236.45,226.05,230.55,230.7,229.75,2020-01-27
"ADANIENT",232.25,234.5,229.1,229.9,229.3,230.55,2020-01-28
"ADANIENT",231.7,238.35,231,232.3,231.75,229.9,2020-01-29
"ADANIENT",232.3,232.75,228.2,231.5,229.6,232.3,2020-01-30
"ADANIENT",231,234.55,227.15,229.45,228.55,231.5,2020-01-31
"ADANIENT",228,233.65,220.8,222.8,221.65,229.45,2020-02-01
"ADANIENT",221.7,224.65,215.6,220.9,221.4,222.8,2020-02-03
"ADANIENT",222.65,227.15,222.05,225.45,224.6,220.9,2020-02-04
"ADANIENT",226.75,239.3,222.55,236.25,236.9,225.45,2020-02-05
"ADANIENT",237.4,243.6,234.1,236.5,234.7,236.25,2020-02-06
"ADANIENT",236.4,242.15,235.25,239.5,238.45,236.5,2020-02-07
"ADANIENT",239.5,245.15,237.55,244.5,243.7,239.5,2020-02-10
"ADANIENT",245.2,248.6,243.65,245.3,244.5,244.5,2020-02-11
"ADANIENT",245.9,251.4,245,249.7,248.75,245.3,2020-02-12
"ADANIENT",249.8,252.75,248.25,251.45,251,249.7,2020-02-13
"ADANIENT",252.5,258.6,251.55,256.15,255.95,251.45,2020-02-14
"ADANIENT",256.9,257.4,251.65,252.5,252.6,256.15,2020-02-17
"ADANIENT",251.65,251.65,245.25,249.45,248.9,252.5,2020-02-18
"ADANIENT",250,255.5,249.9,254,252.85,249.45,2020-02-19
"ADANIENT",253.2,261,252.65,258.65,257.7,254,2020-02-20
"ADANIENT",254.8,255.85,244.1,247.25,244.95,258.65,2020-02-24
"ADANIENT",249.8,251.75,242.4,246.45,246.25,247.25,2020-02-25
"ADANIENT",244,246.3,241,242.8,241.4,246.45,2020-02-26
"ADANIENT",241.45,241.45,232.05,234.15,232.5,242.8,2020-02-27
"ADANIENT",221,226.8,217,218.65,217.5,234.15,2020-02-28
"ADANIENT",223,226.7,216.15,218.6,218,218.65,2020-03-02
"ADANIENT",221,228.65,219.25,225.75,224.95,218.6,2020-03-03
"ADANIENT",226.1,227,213.55,221.1,222.7,225.75,2020-03-04
"ADANIENT",223.75,226.85,219.35,221.75,221,221.1,2020-03-05
"ADANIENT",215.1,216.75,207.5,214.75,212,221.75,2020-03-06
"ADANIENT",207,208.5,197.25,199.7,198.85,214.75,2020-03-09
"ADANIENT",197.4,205,192.25,195.75,192.55,199.7,2020-03-11
"ADANIENT",180.1,183.9,160.45,162.15,161.25,195.75,2020-03-12
"ADANIENT",145.95,161.35,129.75,148.75,150.3,162.15,2020-03-13
"ADANIENT",141,142.3,128.65,134.7,135.8,148.75,2020-03-16
"ADANIENT",135.7,142.55,130.5,133.4,134.5,134.7,2020-03-17
"ADANIENT",135.9,137,127.1,130.2,132.5,133.4,2020-03-18
"ADANIENT",121,132.95,118.2,128.9,130,130.2,2020-03-19
"ADANIENT",138,141.6,128.7,137.7,138.75,128.9,2020-03-20
"ADANIENT",123.05,135,118.2,120.9,120.15,137.7,2020-03-23
"ADANIENT",125,132.95,116.4,130.35,131.8,120.9,2020-03-24
"ADANIENT",126,134.9,125,132.3,134,130.35,2020-03-25
"ADANIENT",135,152,132.05,140.25,140,132.3,2020-03-26
"ADANIENT",146,151,126.25,128,129,140.25,2020-03-27
"ADANIENT",124,129.8,121,128.7,128.5,128,2020-03-30
"ADANIENT",131.7,138.45,129.45,137.6,136,128.7,2020-03-31
"ADANIENT",138.95,138.95,131.8,133.95,133.3,137.6,2020-04-01
"ADANIENT",134,134.6,128,129.05,129.05,133.95,2020-04-03
"ADANIENT",131,141.5,131,138.15,137,129.05,2020-04-07
"ADANIENT",136.85,147.15,134.9,138.1,137.5,138.15,2020-04-08
"ADANIENT",140,146.25,140,142.45,142.45,138.1,2020-04-09
"ADANIENT",142,149,136.55,146,149,142.45,2020-04-13
"ADANIENT",148.05,150.95,143.2,145.25,145,146,2020-04-15
"ADANIENT",142,144.85,140.55,143.3,143.2,145.25,2020-04-16
"ADANIENT",146.95,148.55,141.55,143.9,143.95,143.3,2020-04-17
"ADANIENT",146,155.45,142.6,146.7,146.9,143.9,2020-04-20
"ADANIENT",143,143,134.15,135.95,135.55,146.7,2020-04-21
