"SYMBOL","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","DATE"
"BSE",500.5,507.1,496.7,500.85,500.05,501.45,2020-01-01
"BSE",503.8,532.5,500,522.5,521.7,500.85,2020-01-02
"BSE",522.9,523.95,510.1,513.95,514,522.5,2020-01-03
"BSE",514,515,495.1,496.45,496.95,513.95,2020-01-06
"BSE",504,509.45,492.1,494.85,495.1,496.45,2020-01-07
"BSE",490.7,501,486.35,491.8,491.5,494.85,2020-01-08
"BSE",496,505,496,501.15,501.2,491.8,2020-01-09
"BSE",508,522,492.25,514.9,512,501.15,2020-01-10
"BSE",516,534.9,513,524.3,523.1,514.9,2020-01-13
"BSE",523.1,544.85,521.15,531.4,531.9,524.3,2020-01-14
"BSE",530.9,545,527,539.2,538.1,531.4,2020-01-15
"BSE",541,550.4,541,544.3,543.8,539.2,2020-01-16
"BSE",547,553.8,545,546.65,547.8,544.3,2020-01-17
"BSE",550,554,546,547.9,549,546.65,2020-01-20
"BSE",547,547.9,540,542.85,544.75,547.9,2020-01-21
"BSE",545,549,528.55,532,532.75,542.85,2020-01-22
"BSE",535,539.8,529,534.85,536,532,2020-01-23
"BSE",536,553,533.2,546.15,544,534.85,2020-01-24
"BSE",546.5,555.55,538.1,541.4,542.4,546.15,2020-01-27
"BSE",541.05,546.05,537,540.85,540.55,541.4,2020-01-28
"BSE",542.05,545.95,537.25,541.65,542.45,540.85,2020-01-29
"BSE",543,543.05,531.2,534.95,536.5,541.65,2020-01-30
"BSE",540,540,531.6,533.4,533.9,534.95,2020-01-31
"BSE",540.1,547.75,521.3,526.6,527,533.4,2020-02-01
"BSE",528,531.8,518.1,523.6,523.25,526.6,2020-02-03
"BSE",524,533.6,524,529.25,528.25,523.6,2020-02-04
"BSE",535,535,528,530,529,529.25,2020-02-05
"BSE",529.75,558,529.75,547.05,547,530,2020-02-06
"BSE",552,590,550,573.65,573.6,547.05,2020-02-07
"BSE",577.5,582.5,565,570.5,570,573.65,2020-02-10
"BSE",575,580.35,567,569.45,568,570.5,2020-02-11
"BSE",565,565,534.5,539.2,536,569.45,2020-02-12
"BSE",539.1,539.1,517.1,519.4,521,539.2,2020-02-13
"BSE",521.9,534,520.2,523.4,522,519.4,2020-02-14
"BSE",523,526.8,502.5,506.6,506,523.4,2020-02-17
"BSE",505,511.95,492.6,507.6,506.5,506.6,2020-02-18
"BSE",507.05,518.9,505.85,515.55,513.95,507.6,2020-02-19
"BSE",515.55,520.05,510,515.25,520.05,515.55,2020-02-20
"BSE",515,524.65,512,514.7,516.05,515.25,2020-02-24
"BSE",516.05,516.3,502.1,507.1,505.65,514.7,2020-02-25
"BSE",505,505,495,497.05,497.95,507.1,2020-02-26
"BSE",499.5,501.8,466.35,469.3,466.45,497.05,2020-02-27
"BSE",460,465,450.1,453,452,469.3,2020-02-28
"BSE",457,464.9,454,457.35,455,453,2020-03-02
"BSE",458.9,461.2,452.25,455.55,458.2,457.35,2020-03-03
"BSE",455.15,458.2,426.35,438.8,438.3,455.55,2020-03-04
"BSE",436.05,444,431.2,432.7,431.5,438.8,2020-03-05
"BSE",425,425,410.1,415.3,415,432.7,2020-03-06
"BSE",409.9,409.9,393,399.9,400,415.3,2020-03-09
"BSE",399,407.2,390,391.15,391.7,399.9,2020-03-11
