"SYMBOL","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","DATE"
"CDSL",223.5,225,221,221.8,221.7,222.7,2020-01-01
"CDSL",222.7,259,222.25,252.5,253.6,221.8,2020-01-02
"CDSL",252.5,257.4,242.3,248.2,248.5,252.5,2020-01-03
"CDSL",247.9,247.9,236,240.2,239.5,248.2,2020-01-06
"CDSL",244.9,246.7,237.55,240.7,240.2,240.2,2020-01-07
"CDSL",235,245.95,235,241.3,241,240.7,2020-01-08
"CDSL",245,255.7,244,250.95,250.3,241.3,2020-01-09
"CDSL",252,270.7,248.1,264.8,264.15,250.95,2020-01-10
"CDSL",266,270.95,262.1,265.15,264.7,264.8,2020-01-13
"CDSL",265.4,279,262.5,270.85,270,265.15,2020-01-14
"CDSL",269,281.4,267,278.05,276.95,270.85,2020-01-15
"CDSL",279.7,280.9,272.8,274.45,274.3,278.05,2020-01-16
"CDSL",274.5,277.6,270.3,273.05,273.5,274.45,2020-01-17
"CDSL",273.5,282,271.5,273.4,273.7,273.05,2020-01-20
"CDSL",271.9,283.6,267.1,281.5,281.25,273.4,2020-01-21
"CDSL",283.6,285.5,276.1,281.3,280.35,281.5,2020-01-22
"CDSL",281.2,284.5,275.6,278.45,278,281.3,2020-01-23
"CDSL",270,276.2,265.1,268.15,267.8,278.45,2020-01-24
"CDSL",265.5,276,259.95,268.35,268.1,268.15,2020-01-27
"CDSL",269.1,274.75,267,271.7,271.95,268.35,2020-01-28
"CDSL",273,274.8,269,270.55,269.5,271.7,2020-01-29
"CDSL",272,272.45,266.4,267.8,267.45,270.55,2020-01-30
"CDSL",269.4,271,263.3,265.35,265.2,267.8,2020-01-31
"CDSL",264,272.9,253.9,256.3,255,265.35,2020-02-01
"CDSL",256.3,260.7,252.05,254.45,254,256.3,2020-02-03
"CDSL",256.1,265.05,256.1,262.5,263.05,254.45,2020-02-04
"CDSL",263.5,280,263.5,277.25,275.5,262.5,2020-02-05
"CDSL",276.8,294,276,284,283.75,277.25,2020-02-06
"CDSL",285.65,297.7,280.35,289.45,287.8,284,2020-02-07
"CDSL",289.7,292,281,284.25,285.2,289.45,2020-02-10
"CDSL",285.9,295,283.5,292.35,290.85,284.25,2020-02-11
"CDSL",293.4,299.95,288.5,292.65,292.4,292.35,2020-02-12
"CDSL",292.65,293.4,283.1,284.9,284.5,292.65,2020-02-13
"CDSL",286,287.75,275.6,277.5,276.8,284.9,2020-02-14
"CDSL",277,279.45,272,275.4,276.5,277.5,2020-02-17
"CDSL",273.3,276.5,266,274.65,274.65,275.4,2020-02-18
"CDSL",276.35,287,276.3,283.25,283.5,274.65,2020-02-19
"CDSL",284,295,284,287.95,288.55,283.25,2020-02-20
"CDSL",288.6,301.8,286.5,289.3,290,287.95,2020-02-24
"CDSL",291.95,294,282,285.25,284.8,289.3,2020-02-25
"CDSL",282.5,290,280.35,283.95,283.95,285.25,2020-02-26
"CDSL",283.7,288.9,279,285.7,287.85,283.95,2020-02-27
"CDSL",278,278.05,263.5,265,264.5,285.7,2020-02-28
"CDSL",268.9,274,249,252.95,255.3,265,2020-03-02
"CDSL",257,263,249,253,252.8,252.95,2020-03-03
"CDSL",254.65,257.95,245.3,253.45,254.2,253,2020-03-04
"CDSL",255,261.65,250,256.3,256.2,253.45,2020-03-05
"CDSL",241.95,253.75,240.6,250,250,256.3,2020-03-06
"CDSL",244.45,245.8,235,239.05,238.5,250,2020-03-09
"CDSL",240.4,245,235,238.95,239.25,239.05,2020-03-11
"CDSL",229,229.65,215,222.8,225.95,238.95,2020-03-12
"CDSL",206.05,232.9,190,224.7,226.4,222.8,2020-03-13
"CDSL",217.25,222.8,214.7,216.05,216,224.7,2020-03-16
"CDSL",214.2,226.5,209,212.5,211.95,216.05,2020-03-17
