"SYMBOL","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","DATE"
"HDFCBANK",1276.1,1280,1270.6,1278.6,1279,1272.1,2020-01-01
"HDFCBANK",1279,1288,1279,1286.75,1286,1278.6,2020-01-02
"HDFCBANK",1282.2,1285,1263.6,1268.4,1268.5,1286.75,2020-01-03
"HDFCBANK",1260,1261.8,1236,1240.95,1240.25,1268.4,2020-01-06
"HDFCBANK",1258.9,1271.45,1252.25,1260.6,1261,1240.95,2020-01-07
"HDFCBANK",1246.95,1262.15,1240.05,1257.3,1256,1260.6,2020-01-08
"HDFCBANK",1265,1275.8,1263.1,1271.4,1271.8,1257.3,2020-01-09
"HDFCBANK",1284.1,1286.9,1275.1,1282.7,1281,1271.4,2020-01-10
"HDFCBANK",1282.7,1296.5,1276,1286,1287,1282.7,2020-01-13
"HDFCBANK",1289,1292.55,1277.5,1289.5,1288,1286,2020-01-14
"HDFCBANK",1286.4,1287.95,1274.1,1284.25,1285.05,1289.5,2020-01-15
"HDFCBANK",1282.05,1291,1279.35,1287.65,1287.5,1284.25,2020-01-16
"HDFCBANK",1281.75,1284.9,1271.9,1278.15,1277.4,1287.65,2020-01-17
"HDFCBANK",1304.85,1304.85,1252.5,1254.9,1257.35,1278.15,2020-01-20
"HDFCBANK",1250,1250,1238.4,1244.35,1244.9,1254.9,2020-01-21
"HDFCBANK",1248.05,1255,1234.4,1240.85,1241.85,1244.35,2020-01-22
"HDFCBANK",1240,1246.85,1231,1244.85,1245.35,1240.85,2020-01-23
"HDFCBANK",1246,1254,1239.1,1244.55,1245.8,1244.85,2020-01-24
"HDFCBANK",1235,1235,1211.75,1213.2,1213.5,1244.55,2020-01-27
"HDFCBANK",1218.8,1227.8,1213.25,1223.2,1223.1,1213.2,2020-01-28
"HDFCBANK",1225.3,1242,1222.25,1235.85,1235.8,1223.2,2020-01-29
"HDFCBANK",1238.95,1238.95,1217.2,1226.05,1227.9,1235.85,2020-01-30
"HDFCBANK",1231.45,1237.8,1220.25,1226.3,1224.25,1226.05,2020-01-31
"HDFCBANK",1220,1227.7,1191.35,1198.7,1192.5,1226.3,2020-02-01
"HDFCBANK",1197,1197.95,1177.7,1192.8,1194,1198.7,2020-02-03
"HDFCBANK",1198,1234,1198,1229.8,1229,1192.8,2020-02-04
"HDFCBANK",1234.9,1248,1227.3,1244.65,1246,1229.8,2020-02-05
"HDFCBANK",1244.65,1248.7,1237.2,1239.8,1239.95,1244.65,2020-02-06
"HDFCBANK",1246,1247,1231.6,1242.2,1240,1239.8,2020-02-07
"HDFCBANK",1242.95,1242.95,1226.05,1240.3,1240.95,1242.2,2020-02-10
"HDFCBANK",1243.3,1255,1238.05,1240.6,1239.9,1240.3,2020-02-11
"HDFCBANK",1245.2,1252.9,1244.05,1249,1249,1240.6,2020-02-12
"HDFCBANK",1259.9,1259.9,1233.6,1241.4,1239.5,1249,2020-02-13
"HDFCBANK",1243.2,1248.4,1215,1219.35,1219.45,1241.4,2020-02-14
"HDFCBANK",1225,1233,1214.45,1217.15,1218,1219.35,2020-02-17
"HDFCBANK",1216.9,1218.5,1203.5,1213.25,1217.05,1217.15,2020-02-18
"HDFCBANK",1222.5,1230,1213.9,1227.2,1227.2,1213.25,2020-02-19
"HDFCBANK",1230,1230,1214.1,1217.1,1217,1227.2,2020-02-20
"HDFCBANK",1208.95,1214.75,1200,1209.95,1210.25,1217.1,2020-02-24
"HDFCBANK",1204,1209,1198,1200.3,1201.8,1209.95,2020-02-25
"HDFCBANK",1197.5,1204.7,1185.65,1199.25,1201.1,1200.3,2020-02-26
"HDFCBANK",1195,1202.5,1181,1199.45,1199.65,1199.25,2020-02-27
"HDFCBANK",1175.5,1185,1170.1,1177.65,1178.8,1199.45,2020-02-28
"HDFCBANK",1200.2,1201.15,1166.15,1179.6,1185,1177.65,2020-03-02
"HDFCBANK",1175,1185.35,1168,1181.8,1182.5,1179.6,2020-03-03
"HDFCBANK",1178.35,1180,1133.1,1148.85,1149.15,1181.8,2020-03-04
"HDFCBANK",1153,1165,1142.75,1151.35,1149,1148.85,2020-03-05
"HDFCBANK",1125,1140.9,1101,1134.9,1134,1151.35,2020-03-06
"HDFCBANK",1110,1118.4,1065,1107.3,1112,1134.9,2020-03-09
"HDFCBANK",1105,1120,1092,1113.8,1110,1107.3,2020-03-11
"HDFCBANK",1075,1080,1003.45,1021.3,1032,1113.8,2020-03-12
"HDFCBANK",980.05,1081.45,919.2,1069.8,1074,1021.3,2020-03-13
"HDFCBANK",1035,1037,995,999.5,1001.25,1069.8,2020-03-16
"HDFCBANK",1008,1010,954.7,975.1,976.2,999.5,2020-03-17
"HDFCBANK",985,993,865,876.9,898.5,975.1,2020-03-18
"HDFCBANK",847,919.95,795,895.55,904.6,876.9,2020-03-19
"HDFCBANK",875,914.6,824.55,882.85,881.25,895.55,2020-03-20
"HDFCBANK",794.6,838.75,765,771.55,778.9,882.85,2020-03-23
"HDFCBANK",795.25,810,738.75,767.7,774.8,771.55,2020-03-24
"HDFCBANK",770.45,867.45,755.25,856.75,863,767.7,2020-03-25
"HDFCBANK",870.1,937.7,841,901.1,898,856.75,2020-03-26
"HDFCBANK",944.95,988.65,872.1,904.45,900,901.1,2020-03-27
"HDFCBANK",901,901,901,901,901,1253.8,2020-03-30
"HDFCBANK",880,887,828,831.65,831,904.45,2020-03-30
"HDFCBANK",853.8,873.6,838,861.9,857.95,831.65,2020-03-31
"HDFCBANK",863.85,863.85,820,829.65,829.55,861.9,2020-04-01
"HDFCBANK",843,844,810,813.85,811,829.65,2020-04-03
"HDFCBANK",874,907.3,845.35,896.1,895.8,813.85,2020-04-07
"HDFCBANK",879.95,945,866.1,888.9,888.7,896.1,2020-04-08
"HDFCBANK",913,930.9,890,925.05,922.1,888.9,2020-04-09
"HDFCBANK",934,946.7,886.2,895.35,897.8,925.05,2020-04-13
"HDFCBANK",930.5,930.5,843,863.3,865.15,895.35,2020-04-15
"HDFCBANK",865,890.7,856.25,879.75,884.25,863.3,2020-04-16
"HDFCBANK",915,920,887.25,910.3,915.1,879.75,2020-04-17
"HDFCBANK",951,960.95,935,944.85,943.3,910.3,2020-04-20
"HDFCBANK",925,934,908,921.65,919.15,944.85,2020-04-21
"HDFCBANK",919.15,933,907.3,928.6,929.75,921.65,2020-04-22
"HDFCBANK",935,958.5,912.55,954.95,952.1,928.6,2020-04-23
"HDFCBANK",933,958.4,926,938.05,937,954.95,2020-04-24
"HDFCBANK",945.15,957.4,926.3,929.7,929.95,938.05,2020-04-27
"HDFCBANK",943.8,943.8,922,931.4,933.3,929.7,2020-04-28
"HDFCBANK",935,992.7,934.1,977.1,970.05,931.4,2020-04-29
"HDFCBANK",1001.4,1019,992.1,1001.8,1000,977.1,2020-04-30
"HDFCBANK",957.5,960,917.5,923,924.9,1001.8,2020-05-04
"HDFCBANK",938,944,908.05,911.45,914.5,923,2020-05-05
"HDFCBANK",919,950,905.65,946.4,946.55,911.45,2020-05-06
"HDFCBANK",940.5,943.3,921.35,925,927.3,946.4,2020-05-07
"HDFCBANK",942,943.95,925.2,929.05,930,925,2020-05-08
"HDFCBANK",937,954,914,915.8,915.9,929.05,2020-05-11
"HDFCBANK",901,909.4,871.1,901.55,902.5,915.8,2020-05-12
"HDFCBANK",951,960,922.1,927.65,928.95,901.55,2020-05-13
"HDFCBANK",898,911,890,893.7,893.85,927.65,2020-05-14
"HDFCBANK",890.5,892.4,875,888.15,888,893.7,2020-05-15
"HDFCBANK",888,888,831.3,836.65,838,888.15,2020-05-18
"HDFCBANK",860.85,867.3,826.1,830.65,832.85,836.65,2020-05-19
"HDFCBANK",836.45,864,832.2,857.1,863.5,830.65,2020-05-20
"HDFCBANK",861.45,884,852.3,859.55,860.4,857.1,2020-05-21
"HDFCBANK",850,870.3,833.05,838.85,842.65,859.55,2020-05-22
"HDFCBANK",857,871.75,848.75,852.4,858,838.85,2020-05-26
"HDFCBANK",859.9,909.8,857.15,903.65,901.4,852.4,2020-05-27
"HDFCBANK",920,950,913.95,945.25,947.5,903.65,2020-05-28
"HDFCBANK",944,955,923.45,951.65,947.1,945.25,2020-05-29
"HDFCBANK",975,995,966.1,987.65,984.05,951.65,2020-06-01
"HDFCBANK",986.7,1005,975.2,1001,1005,987.65,2020-06-02
"HDFCBANK",1020,1046.25,1015.45,1022.25,1023,1001,2020-06-03
"HDFCBANK",1028.05,1038.95,991.1,1001.7,995,1022.25,2020-06-04
"HDFCBANK",1003.1,1042.4,1002.8,1033.35,1039.05,1001.7,2020-06-05
"HDFCBANK",1060,1066.65,1006.4,1015.9,1016.8,1033.35,2020-06-08
"HDFCBANK",1020,1026.75,979.55,987.3,984.45,1015.9,2020-06-09
"HDFCBANK",990,999.85,978.2,991.85,993,987.3,2020-06-10
"HDFCBANK",985,988.4,965,968.6,969.3,991.85,2020-06-11
"HDFCBANK",928,986.65,928,982.75,977.1,968.6,2020-06-12
"HDFCBANK",968,974,943,949.85,951.75,982.75,2020-06-15
"HDFCBANK",975,993.95,952,990.4,989.15,949.85,2020-06-16
"HDFCBANK",989,998.9,973.25,979.25,978.65,990.4,2020-06-17
"HDFCBANK",980,1024.9,972,1019.95,1017.6,979.25,2020-06-18
"HDFCBANK",1017.95,1043,1012.15,1033.35,1032.95,1019.95,2020-06-19
"HDFCBANK",1039.45,1045.95,1023.8,1028.75,1029,1033.35,2020-06-22
"HDFCBANK",1039,1045,1016.55,1042.3,1045,1028.75,2020-06-23
