"SYMBOL","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","DATE"
"KOTAKBANK",1689,1696.75,1672,1674.05,1673.15,1684.35,2020-01-01
"KOTAKBANK",1680,1683.5,1664.65,1671.55,1671.5,1674.05,2020-01-02
"KOTAKBANK",1670.95,1673,1645.55,1657.1,1659.05,1671.55,2020-01-03
"KOTAKBANK",1657.1,1657.45,1638.6,1652.55,1653.8,1657.1,2020-01-06
"KOTAKBANK",1661.05,1674.75,1650.4,1670.85,1668,1652.55,2020-01-07
"KOTAKBANK",1654.7,1661.45,1638,1654.85,1651.65,1670.85,2020-01-08
"KOTAKBANK",1673.5,1673.75,1658.7,1665.05,1665.1,1654.85,2020-01-09
"KOTAKBANK",1674.1,1692,1671.2,1684.7,1686,1665.05,2020-01-10
"KOTAKBANK",1692,1704.5,1685.55,1691.1,1690.2,1684.7,2020-01-13
"KOTAKBANK",1696,1696.1,1671,1676.8,1678.8,1691.1,2020-01-14
"KOTAKBANK",1675.95,1686.6,1665.9,1675.6,1681.6,1676.8,2020-01-15
"KOTAKBANK",1678.9,1705.6,1678.9,1701.55,1703.05,1675.6,2020-01-16
"KOTAKBANK",1703.9,1705.85,1690.1,1698.1,1699,1701.55,2020-01-17
"KOTAKBANK",1709,1709,1611,1617.9,1617,1698.1,2020-01-20
"KOTAKBANK",1605,1630.6,1585.2,1625.1,1627.35,1617.9,2020-01-21
"KOTAKBANK",1633.2,1637.9,1576,1585.5,1591,1625.1,2020-01-22
"KOTAKBANK",1588,1608.4,1581.3,1605.85,1606.9,1585.5,2020-01-23
"KOTAKBANK",1605.45,1649,1587,1642.95,1638.05,1605.85,2020-01-24
"KOTAKBANK",1628.7,1629,1608.4,1618.35,1617,1642.95,2020-01-27
"KOTAKBANK",1620,1638,1610.25,1626.05,1624,1618.35,2020-01-28
"KOTAKBANK",1633,1646.2,1623.05,1640.45,1639.55,1626.05,2020-01-29
"KOTAKBANK",1637.8,1640.3,1617.5,1628.25,1627.95,1640.45,2020-01-30
"KOTAKBANK",1709.65,1729,1683.15,1691.75,1688.65,1628.25,2020-01-31
"KOTAKBANK",1684,1689.45,1630.05,1647.95,1655,1691.75,2020-02-01
"KOTAKBANK",1645.6,1680.8,1634,1676.25,1676.3,1647.95,2020-02-03
"KOTAKBANK",1684.05,1702.8,1670.15,1698.3,1699,1676.25,2020-02-04
"KOTAKBANK",1702,1707.45,1677.1,1689.75,1693.5,1698.3,2020-02-05
"KOTAKBANK",1693.9,1697.9,1668,1674,1675.75,1689.75,2020-02-06
"KOTAKBANK",1675.75,1677.95,1644,1653.05,1654.95,1674,2020-02-07
"KOTAKBANK",1660,1674.6,1645.7,1669.3,1673,1653.05,2020-02-10
"KOTAKBANK",1682.45,1685.8,1666.55,1677.45,1679.45,1669.3,2020-02-11
"KOTAKBANK",1680.1,1720,1675,1714.9,1713.5,1677.45,2020-02-12
"KOTAKBANK",1714.7,1714.7,1682.3,1689.8,1689.55,1714.9,2020-02-13
"KOTAKBANK",1696,1703,1663.6,1680.95,1682.5,1689.8,2020-02-14
"KOTAKBANK",1685,1699.2,1672.25,1691.1,1693.85,1680.95,2020-02-17
"KOTAKBANK",1682.5,1699.8,1678.3,1691,1692.95,1691.1,2020-02-18
"KOTAKBANK",1740,1740,1695.4,1701.1,1699.6,1691,2020-02-19
"KOTAKBANK",1697.3,1699.25,1676.2,1685.95,1685,1701.1,2020-02-20
"KOTAKBANK",1672,1683.75,1662.3,1678.25,1679.4,1685.95,2020-02-24
"KOTAKBANK",1676.2,1689.7,1668.35,1675.8,1678.5,1678.25,2020-02-25
"KOTAKBANK",1670.1,1677.7,1657,1666.5,1673.8,1675.8,2020-02-26
"KOTAKBANK",1666,1688.9,1660.6,1682.75,1678.5,1666.5,2020-02-27
"KOTAKBANK",1654.9,1660.1,1613.75,1620.35,1619.95,1682.75,2020-02-28
"KOTAKBANK",1631,1637.3,1584.2,1599,1600,1620.35,2020-03-02
"KOTAKBANK",1603.8,1636.35,1587,1626.3,1633.1,1599,2020-03-03
"KOTAKBANK",1632.2,1633.1,1577.6,1607.95,1609.15,1626.3,2020-03-04
"KOTAKBANK",1615,1676.5,1608,1651.35,1650.55,1607.95,2020-03-05
"KOTAKBANK",1605.2,1644,1598.2,1631.05,1634.05,1651.35,2020-03-06
"KOTAKBANK",1595,1609.95,1542.6,1578.15,1586.7,1631.05,2020-03-09
"KOTAKBANK",1575.95,1604.9,1542.5,1589.3,1590.2,1578.15,2020-03-11
"KOTAKBANK",1509.9,1546.45,1350.95,1465.05,1468,1589.3,2020-03-12
"KOTAKBANK",1400,1505,1172.05,1470.05,1478.05,1465.05,2020-03-13
"KOTAKBANK",1417,1444.75,1375,1383.7,1380,1470.05,2020-03-16
"KOTAKBANK",1392,1402.95,1303.1,1322.7,1319.45,1383.7,2020-03-17
"KOTAKBANK",1326,1329,1162.1,1171.95,1171,1322.7,2020-03-18
"KOTAKBANK",1095.05,1253.6,1001,1210.85,1194.95,1171.95,2020-03-19
"KOTAKBANK",1217,1283.6,1146.5,1262.35,1266.95,1210.85,2020-03-20
"KOTAKBANK",1137.5,1204.45,1078.15,1098.25,1119,1262.35,2020-03-23
"KOTAKBANK",1153.15,1185,1041.1,1152.9,1178.65,1098.25,2020-03-24
"KOTAKBANK",1140,1324,1125.05,1290.15,1290,1152.9,2020-03-25
"KOTAKBANK",1300,1390,1252.8,1372.95,1372.95,1290.15,2020-03-26
"KOTAKBANK",1436,1450,1374.55,1399.1,1390.35,1372.95,2020-03-27
"KOTAKBANK",1345.2,1380,1275.8,1293.7,1282,1399.1,2020-03-30
"KOTAKBANK",1328.3,1330,1285,1296.05,1286.95,1293.7,2020-03-31
"KOTAKBANK",1294.9,1294.9,1158,1181.65,1183.5,1296.05,2020-04-01
"KOTAKBANK",1181.65,1183,1087,1140.85,1158.2,1181.65,2020-04-03
"KOTAKBANK",1221,1229.05,1171,1198.05,1188,1140.85,2020-04-07
"KOTAKBANK",1184.8,1242.55,1160.35,1187.65,1190.25,1198.05,2020-04-08
"KOTAKBANK",1215,1281.2,1190.1,1272.9,1266,1187.65,2020-04-09
"KOTAKBANK",1250,1257.15,1216,1250.9,1257,1272.9,2020-04-13
"KOTAKBANK",1265.85,1270.95,1153.3,1173.75,1180,1250.9,2020-04-15
"KOTAKBANK",1164.95,1164.95,1114.45,1130.85,1135,1173.75,2020-04-16
"KOTAKBANK",1187.35,1197.95,1135,1186.25,1195,1130.85,2020-04-17
"KOTAKBANK",1220,1224.5,1172.25,1177.75,1177.8,1186.25,2020-04-20
"KOTAKBANK",1150,1155,1125,1130.15,1128,1177.75,2020-04-21
"KOTAKBANK",1127.05,1166.75,1108.2,1152.15,1160.4,1130.15,2020-04-22
"KOTAKBANK",1172,1255,1158.1,1249.65,1247.9,1152.15,2020-04-23
"KOTAKBANK",1219,1258,1213.35,1239.55,1242,1249.65,2020-04-24
"KOTAKBANK",1251.9,1324.9,1251.9,1303.6,1308.05,1239.55,2020-04-27
"KOTAKBANK",1310.1,1336.5,1310.1,1326.65,1326.05,1303.6,2020-04-28
"KOTAKBANK",1327,1352,1315.2,1327.85,1325,1326.65,2020-04-29
"KOTAKBANK",1340,1380,1334.05,1357.2,1355.5,1327.85,2020-04-30
"KOTAKBANK",1295,1305.9,1263.7,1277.8,1277,1357.2,2020-05-04
"KOTAKBANK",1297,1302.9,1225,1238.35,1242,1277.8,2020-05-05
"KOTAKBANK",1231,1277.4,1214.25,1245.95,1248.6,1238.35,2020-05-06
"KOTAKBANK",1230.5,1240,1184.25,1199.8,1200,1245.95,2020-05-07
"KOTAKBANK",1222,1242.95,1211.05,1217.45,1223.15,1199.8,2020-05-08
"KOTAKBANK",1240.55,1252.3,1185,1188.45,1186.4,1217.45,2020-05-11
"KOTAKBANK",1178,1178,1137,1157.2,1157.95,1188.45,2020-05-12
"KOTAKBANK",1215.05,1220,1172.7,1186.7,1191,1157.2,2020-05-13
"KOTAKBANK",1178.9,1214,1167.15,1173.1,1176.05,1186.7,2020-05-14
"KOTAKBANK",1179.85,1189.9,1154.2,1178.3,1176.15,1173.1,2020-05-15
"KOTAKBANK",1175,1176,1110,1113.65,1121,1178.3,2020-05-18
"KOTAKBANK",1150,1169.9,1125.3,1130.45,1131.9,1113.65,2020-05-19
"KOTAKBANK",1130,1178,1115,1160.1,1165,1130.45,2020-05-20
"KOTAKBANK",1165,1189.55,1144.6,1150.25,1153,1160.1,2020-05-21
"KOTAKBANK",1140,1167.2,1116.5,1160.2,1165,1150.25,2020-05-22
"KOTAKBANK",1160,1175,1144.55,1153.2,1154,1160.2,2020-05-26
"KOTAKBANK",1163.95,1243,1161,1217.55,1217.6,1153.2,2020-05-27
"KOTAKBANK",1224,1254.9,1209.6,1229.45,1226.75,1217.55,2020-05-28
"KOTAKBANK",1216.5,1229.8,1200.05,1224,1222,1229.45,2020-05-29
"KOTAKBANK",1249,1279.2,1238,1248.4,1248,1224,2020-06-01
"KOTAKBANK",1323,1353.25,1298.05,1342.9,1344.45,1248.4,2020-06-02
"KOTAKBANK",1364,1428.2,1342.2,1386.55,1384.6,1342.9,2020-06-03
"KOTAKBANK",1380.05,1380.05,1330.35,1334.4,1337.5,1386.55,2020-06-04
