"SYMBOL","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","DATE"
"RELIANCE",1518,1527.1,1505.5,1509.6,1511.8,1514.05,2020-01-01
"RELIANCE",1512,1540.95,1512,1535.3,1534.1,1509.6,2020-01-02
"RELIANCE",1533,1541.65,1523,1537.15,1536,1535.3,2020-01-03
"RELIANCE",1520,1527.9,1498,1501.5,1499.9,1537.15,2020-01-06
"RELIANCE",1519,1534.5,1513.5,1524.6,1526.95,1501.5,2020-01-07
"RELIANCE",1515,1534.45,1510,1513.15,1514,1524.6,2020-01-08
"RELIANCE",1538.6,1550,1531.25,1548,1549.5,1513.15,2020-01-09
"RELIANCE",1551.9,1557.95,1539.65,1547.65,1546.85,1548,2020-01-10
"RELIANCE",1545.05,1558.7,1538.4,1543.7,1539.85,1547.65,2020-01-13
"RELIANCE",1540,1550,1521.85,1529.4,1529.1,1543.7,2020-01-14
"RELIANCE",1535.85,1539.9,1518.25,1523.85,1524.1,1529.4,2020-01-15
"RELIANCE",1529,1543.35,1528,1537.9,1538.7,1523.85,2020-01-16
"RELIANCE",1553.5,1584.95,1553.2,1581,1581,1537.9,2020-01-17
"RELIANCE",1609,1609,1526.4,1532.35,1532.2,1581,2020-01-20
"RELIANCE",1528.6,1545.85,1522,1533.9,1535,1532.35,2020-01-21
"RELIANCE",1544,1546.75,1531.1,1533.35,1535.25,1533.9,2020-01-22
"RELIANCE",1536.5,1541.95,1520.7,1526.85,1529.6,1533.35,2020-01-23
"RELIANCE",1527,1536.35,1518.55,1521.55,1524.05,1526.85,2020-01-24
"RELIANCE",1514.9,1524.45,1505,1506.55,1508,1521.55,2020-01-27
"RELIANCE",1508.6,1510,1463.6,1471.75,1473.5,1506.55,2020-01-28
"RELIANCE",1474.05,1494.4,1464.05,1479.85,1480,1471.75,2020-01-29
"RELIANCE",1479,1479.7,1440,1443.75,1443,1479.85,2020-01-30
"RELIANCE",1453,1453.25,1407.2,1411.65,1410,1443.75,2020-01-31
"RELIANCE",1405.3,1426.95,1371.1,1383.35,1372,1411.65,2020-02-01
"RELIANCE",1369.9,1399.95,1363.05,1385.5,1386,1383.35,2020-02-03
"RELIANCE",1400,1432.5,1397.8,1426.4,1427.5,1385.5,2020-02-04
"RELIANCE",1434.9,1452.8,1430.3,1448.5,1446.3,1426.4,2020-02-05
"RELIANCE",1454.1,1467,1440.1,1457.8,1455,1448.5,2020-02-06
"RELIANCE",1451,1452.35,1428.3,1433.65,1432,1457.8,2020-02-07
"RELIANCE",1428,1445.5,1410.45,1435.6,1442.2,1433.65,2020-02-10
"RELIANCE",1447.4,1466.2,1445.05,1452.75,1454.5,1435.6,2020-02-11
"RELIANCE",1456.15,1474.85,1455,1470.3,1473.15,1452.75,2020-02-12
"RELIANCE",1477.75,1477.75,1462.6,1474.15,1470.45,1470.3,2020-02-13
"RELIANCE",1477.25,1501.45,1453.1,1487.6,1485.85,1474.15,2020-02-14
"RELIANCE",1489,1506.15,1474.3,1478.25,1478.5,1487.6,2020-02-17
"RELIANCE",1475.9,1475.9,1457.4,1467.4,1466.9,1478.25,2020-02-18
"RELIANCE",1479.35,1506.45,1475.1,1503.8,1504.5,1467.4,2020-02-19
"RELIANCE",1497,1508,1483.8,1485.95,1487,1503.8,2020-02-20
"RELIANCE",1469.75,1477,1439.55,1444.95,1447.1,1485.95,2020-02-24
"RELIANCE",1451.4,1451.4,1410,1416.4,1420,1444.95,2020-02-25
"RELIANCE",1410,1412.35,1387.35,1392,1389.5,1416.4,2020-02-26
"RELIANCE",1388,1393.8,1369,1386.25,1380.45,1392,2020-02-27
"RELIANCE",1354.9,1357,1325,1328.65,1327,1386.25,2020-02-28
"RELIANCE",1355.1,1369,1301.1,1316.15,1322,1328.65,2020-03-02
"RELIANCE",1329.7,1353.9,1322,1342.85,1346.35,1316.15,2020-03-03
"RELIANCE",1352,1353.8,1307.9,1339.7,1349,1342.85,2020-03-04
"RELIANCE",1352.2,1357.95,1306,1311.15,1309.9,1339.7,2020-03-05
"RELIANCE",1270,1288.15,1241.1,1271,1269.85,1311.15,2020-03-06
"RELIANCE",1240.05,1241,1095,1114.15,1104.5,1271,2020-03-09
"RELIANCE",1108,1178.45,1108,1153.55,1152,1114.15,2020-03-11
"RELIANCE",1085,1101,1048.7,1063,1059,1153.55,2020-03-12
"RELIANCE",998,1140,942.4,1105.3,1116.95,1063,2020-03-13
"RELIANCE",1060.55,1079.7,1005,1015.7,1012.2,1105.3,2020-03-16
"RELIANCE",1047.25,1060,1003.2,1008,1011.5,1015.7,2020-03-17
"RELIANCE",1025.3,1035.9,961,968.5,976.45,1008,2020-03-18
"RELIANCE",920.1,967,892.2,917.7,917.7,968.5,2020-03-19
"RELIANCE",939.5,1034.9,930,1017.95,1028,917.7,2020-03-20
"RELIANCE",916.2,950,875.65,884.05,891,1017.95,2020-03-23
"RELIANCE",930,970,895.8,943.4,946,884.05,2020-03-24
"RELIANCE",963.8,1151.55,963.25,1082.25,1074,943.4,2020-03-25
"RELIANCE",1095.8,1116.9,1042.35,1066.2,1069,1082.25,2020-03-26
"RELIANCE",1095,1107.3,1046.2,1065.6,1067.95,1066.2,2020-03-27
"RELIANCE",1040.6,1074.8,1020,1030.45,1031.5,1065.6,2020-03-30
"RELIANCE",1073.95,1129.8,1048,1113.75,1100,1030.45,2020-03-31
"RELIANCE",1122.25,1124.6,1045.2,1080.45,1084,1113.75,2020-04-01
"RELIANCE",1134.45,1134.45,1056.3,1077.45,1088,1080.45,2020-04-03
"RELIANCE",1102.1,1214,1100,1206.1,1211,1077.45,2020-04-07
"RELIANCE",1180,1229,1160,1192.15,1197,1206.1,2020-04-08
"RELIANCE",1214,1232.8,1193,1219.95,1217.75,1192.15,2020-04-09
"RELIANCE",1203.95,1215,1180,1189.15,1192.5,1219.95,2020-04-13
"RELIANCE",1197.05,1236,1143,1149.85,1157.5,1189.15,2020-04-15
"RELIANCE",1149.85,1187.45,1145,1168.05,1170,1149.85,2020-04-16
"RELIANCE",1216,1230,1192.65,1224,1229.9,1168.05,2020-04-17
"RELIANCE",1226,1257,1202,1243.8,1248.1,1224,2020-04-20
"RELIANCE",1210,1252,1164,1237.35,1251.5,1243.8,2020-04-21
"RELIANCE",1320,1384.9,1300,1363.6,1359,1237.35,2020-04-22
