"SYMBOL","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","DATE"
"TATAMOTORS",185.15,186.7,183.6,184.45,184.25,185.15,2020-01-01
"TATAMOTORS",185,194.7,184.6,193.75,193.85,184.45,2020-01-02
"TATAMOTORS",192.9,195.65,189.25,191.1,191.25,193.75,2020-01-03
"TATAMOTORS",191,191,185.05,185.65,185.4,191.1,2020-01-06
"TATAMOTORS",187,189.4,182.3,184.7,184.35,185.65,2020-01-07
"TATAMOTORS",180.2,184.2,180.2,182.55,182.75,184.7,2020-01-08
"TATAMOTORS",184.85,192.75,184.25,192,192.4,182.55,2020-01-09
"TATAMOTORS",192,199,190,196.35,194.25,192,2020-01-10
"TATAMOTORS",194.75,197.75,191.4,196.25,195.9,196.35,2020-01-13
"TATAMOTORS",195.7,198.25,193.6,195.85,195.2,196.25,2020-01-14
"TATAMOTORS",195,201.7,194,200.35,199.7,195.85,2020-01-15
"TATAMOTORS",199.5,200.6,196.9,197.55,197.25,200.35,2020-01-16
"TATAMOTORS",197.25,199.45,195.7,197.3,196.7,197.55,2020-01-17
"TATAMOTORS",198,201.45,194.3,195,195.55,197.3,2020-01-20
"TATAMOTORS",195.5,196.4,190.2,191.4,190.25,195,2020-01-21
"TATAMOTORS",191.95,192.5,184.25,185.6,185.6,191.4,2020-01-22
"TATAMOTORS",186.75,190.4,183.8,188.4,188.1,185.6,2020-01-23
"TATAMOTORS",188,191,185,186.5,186.9,188.4,2020-01-24
"TATAMOTORS",185.7,186.9,180.85,182.2,182.35,186.5,2020-01-27
"TATAMOTORS",183.9,184.3,174.9,176.1,176.4,182.2,2020-01-28
"TATAMOTORS",178.8,188.9,178.55,188.05,188.1,176.1,2020-01-29
"TATAMOTORS",190.95,192.55,184.25,186.2,186.3,188.05,2020-01-30
"TATAMOTORS",186.3,188.35,175.95,176.6,176.9,186.2,2020-01-31
"TATAMOTORS",175.4,178.8,163.7,165.6,165.4,176.6,2020-02-01
