"SYMBOL","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","DATE"
"TCS",2168,2183.9,2154,2167.6,2170,2161.7,2020-01-01
"TCS",2179.95,2179.95,2149.2,2157.65,2157,2167.6,2020-01-02
"TCS",2164,2223,2164,2200.65,2201,2157.65,2020-01-03
"TCS",2205,2225.95,2187.9,2200.45,2201.35,2200.65,2020-01-06
"TCS",2200.5,2214.65,2183.8,2205.85,2205,2200.45,2020-01-07
"TCS",2205,2260,2202.05,2255.25,2253.35,2205.85,2020-01-08
"TCS",2248.75,2251.95,2210,2214.35,2220,2255.25,2020-01-09
"TCS",2228,2234,2208,2213.55,2213,2214.35,2020-01-10
"TCS",2217.85,2218.95,2184.7,2190.35,2193,2213.55,2020-01-13
"TCS",2195,2229.8,2195,2206.9,2210,2190.35,2020-01-14
"TCS",2213,2231,2194.2,2226.9,2225.05,2206.9,2020-01-15
"TCS",2226.95,2249,2215,2238.8,2240,2226.9,2020-01-16
"TCS",2240.75,2253.55,2213,2219.1,2220,2238.8,2020-01-17
"TCS",2194.9,2242.2,2156.2,2170.35,2174,2219.1,2020-01-20
"TCS",2169.95,2186.55,2158.05,2171.05,2172.35,2170.35,2020-01-21
"TCS",2181,2210,2173.7,2206.9,2209.8,2171.05,2020-01-22
"TCS",2209.8,2217.75,2183.7,2190.95,2188,2206.9,2020-01-23
"TCS",2190.95,2190.95,2170,2183.4,2185,2190.95,2020-01-24
"TCS",2189.7,2193.45,2165,2169.25,2168.3,2183.4,2020-01-27
"TCS",2174,2187.8,2152,2183.75,2183.8,2169.25,2020-01-28
"TCS",2185,2186.95,2150,2154.6,2154,2183.75,2020-01-29
"TCS",2160,2165,2125,2137.85,2134.65,2154.6,2020-01-30
"TCS",2139.4,2144.35,2071.6,2079.05,2082.4,2137.85,2020-01-31
"TCS",2079.5,2180.7,2063.6,2164.85,2167.5,2079.05,2020-02-01
"TCS",2152,2194.7,2093.2,2102.5,2110,2164.85,2020-02-03
"TCS",2129,2136.7,2086.6,2107.75,2111.95,2102.5,2020-02-04
"TCS",2115,2156.7,2104.3,2146.55,2147.5,2107.75,2020-02-05
"TCS",2145,2174.2,2115.5,2128.35,2129.45,2146.55,2020-02-06
"TCS",2139,2151,2119,2136.55,2138,2128.35,2020-02-07
