"SYMBOL","OPEN","HIGH","LOW","CLOSE","LAST","PREVCLOSE","DATE"
"TITAN",1194.45,1199,1152.2,1154.75,1155.1,1187.95,2020-01-01
"TITAN",1157,1159.9,1140,1155.6,1156,1154.75,2020-01-02
"TITAN",1156,1156,1132,1139.7,1139.7,1155.6,2020-01-03
"TITAN",1162,1171.4,1150.1,1158.6,1157,1139.7,2020-01-06
"TITAN",1170.95,1173.85,1152.05,1159.95,1159.35,1158.6,2020-01-07
"TITAN",1145,1156.3,1138,1143.3,1143.1,1159.95,2020-01-08
"TITAN",1155,1168,1148.5,1163.45,1163.5,1143.3,2020-01-09
"TITAN",1167,1170.7,1150.75,1154.05,1153.9,1163.45,2020-01-10
"TITAN",1155,1162.45,1148.5,1158.95,1160,1154.05,2020-01-13
"TITAN",1162,1168.65,1157.15,1167.1,1167.1,1158.95,2020-01-14
"TITAN",1173.5,1191.5,1170.6,1184.85,1182.6,1167.1,2020-01-15
"TITAN",1184.85,1195.5,1174.1,1192.9,1192.25,1184.85,2020-01-16
"TITAN",1194.8,1196.85,1184,1188.75,1186.2,1192.9,2020-01-17
"TITAN",1190,1195,1179.1,1187.85,1186.75,1188.75,2020-01-20
"TITAN",1183.45,1183.9,1161,1176.2,1179.15,1187.85,2020-01-21
"TITAN",1181.8,1185.95,1172,1177.65,1178,1176.2,2020-01-22
"TITAN",1176,1206.65,1175,1204.1,1203,1177.65,2020-01-23
"TITAN",1208.9,1230,1206.05,1227.85,1228.45,1204.1,2020-01-24
"TITAN",1228,1240.35,1208.85,1213.8,1210,1227.85,2020-01-27
"TITAN",1215,1223.5,1188.3,1195,1198.5,1213.8,2020-01-28
"TITAN",1198.5,1207.9,1181.6,1186.2,1185,1195,2020-01-29
"TITAN",1191,1191.5,1176.2,1179.25,1182,1186.2,2020-01-30
"TITAN",1185.5,1194.8,1180,1187.75,1189.55,1179.25,2020-01-31
"TITAN",1186.85,1218,1165.6,1173.25,1173.25,1187.75,2020-02-01
